lambda,hbo,hbr
650,386.9,3735.1
651,379.3,3703.9
652,372.2,3672.7
653,365.9,3641.4
654,360.1,3612.6
655,354.5,3584.1
656,349.5,3555.5
657,345.1,3526.9
658,341.0,3498.2
659,337.6,3469.5
660,334.6,3440.8
661,331.8,3406.2
662,329.4,3371.7
663,327.6,3337.1
664,326.0,3299.0
665,324.5,3258.2
666,323.4,3217.4
667,322.7,3176.2
668,322.0,3132.7
669,321.6,3089.1
670,321.3,3045.5
671,321.2,2999.3
672,321.2,2951.9
673,321.4,2904.5
674,321.4,2856.9
675,321.1,2808.7
676,320.8,2760.6
677,320.6,2712.4
678,320.5,2665.2
679,320.1,2618.3
680,319.4,2571.3
681,318.6,2524.8
682,318.1,2478.8
683,317.3,2432.9
684,316.3,2387.0
685,315.7,2343.6
686,315.1,2300.4
687,314.0,2257.2
688,313.5,2216.2
689,312.6,2177.2
690,312.3,2138.2
691,312.2,2099.7
692,312.2,2065.6
693,312.3,2031.5
694,312.5,1997.4
695,313.0,1966.5
696,314.0,1937.0
697,314.8,1907.6
698,316.4,1879.1
699,318.1,1853.0
700,319.9,1827.0
701,321.9,1801.0
702,324.3,1777.7
703,326.9,1754.8
704,329.6,1731.9
705,332.3,1709.9
706,335.2,1688.7
707,338.6,1667.5
708,341.8,1646.4
709,345.0,1626.7
710,348.5,1607.0
711,352.4,1587.3
712,356.4,1567.7
713,360.2,1548.1
714,363.9,1528.5
715,368.0,1509.3
716,372.4,1490.7
717,376.5,1472.1
718,380.7,1453.5
719,385.4,1436.5
720,389.9,1419.7
721,394.3,1402.9
722,398.8,1387.5
723,403.5,1373.3
724,408.3,1359.2
725,413.3,1345.6
726,418.1,1335.2
727,423.0,1324.9
728,428.1,1314.6
729,433.2,1308.1
730,438.3,1302.9
731,443.5,1297.6
732,448.8,1294.6
733,454.0,1295.0
734,459.3,1295.3
735,464.6,1295.9
736,470.0,1302.8
737,475.4,1309.6
738,481.1,1316.4
739,486.5,1327.7
740,492.0,1341.1
741,497.6,1354.5
742,503.2,1369.7
743,508.9,1388.7
744,514.7,1407.8
745,520.3,1426.8
746,525.9,1450.1
747,531.7,1473.6
748,537.6,1497.1
749,543.6,1521.2
750,549.5,1545.8
751,555.4,1570.3
752,561.3,1593.8
753,567.2,1614.2
754,573.1,1634.6
755,579.1,1654.9
756,585.6,1664.6
757,591.2,1673.3
758,597.4,1682.0
759,603.1,1681.6
760,609.6,1674.5
761,615.7,1667.4
762,621.9,1656.6
763,628.3,1634.3
764,634.5,1612.1
765,640.7,1589.8
766,646.9,1558.2
767,653.5,1525.9
768,659.6,1493.5
769,665.8,1459.0
770,672.0,1422.9
771,678.5,1386.9
772,684.9,1351.3
773,691.1,1316.9
774,697.4,1282.5
775,703.8,1248.1
776,710.1,1217.5
777,716.6,1187.0
778,722.9,1156.6
779,729.7,1129.8
780,736.0,1105.0
781,742.2,1080.3
782,748.5,1057.1
783,754.9,1037.2
784,761.3,1017.3
785,768.1,997.5
786,774.3,982.2
787,780.8,966.8
788,787.4,951.5
789,794.1,938.5
790,800.5,926.4
791,807.0,914.3
792,813.4,903.4
793,819.7,893.9
794,826.4,884.4
795,833.0,875.2
796,839.2,867.6
797,845.8,860.0
798,852.4,852.4
799,858.8,846.1
800,865.3,839.9
801,871.6,833.8
802,878.0,828.5
803,884.5,823.7
804,890.9,819.0
805,897.3,814.6
806,903.8,811.1
807,910.2,807.5
808,916.4,804.0
