lambda,hbo,hbr
450,68000,58000
460,45040,20600
480,27360,13360
500,20200,16360
507,19240,19240
510,19040,20000
520,23520,25080
522,25680,25680
540,57080,41120
542,57480,44000
549,49840,49840
555,36000,52160
560,33880,50160
569,45080,45080
577,61480,36800
579,54920,35440
586,28920,28920
600,3200,14600
605,1860,9496
615,1152,5776
625,732,4400
635,488,3796
645,396,3436
655,340,3244
665,292,3156
675,288,3028
685,272,2796
695,280,2424
705,300,1988
715,328,1628
725,368,1464
735,412,1464
745,480,1616
755,556,1756
765,616,1640
775,684,1340
785,736,1040
795,776,964
805,880,896
815,880,880
825,952,832
835,996,820
845,1048,820
855,1068,820
865,1116,820
875,1140,848
885,1168,832
895,1188,884
905,1208,896
915,1220,924
925,1228,860
935,1216,848
945,1212,756
955,1196,704
965,1176,616
975,1148,552
985,1108,424
995,1052,372
